date,meeting,vendor,max_amount,has_file,file_count,file_types,attached_files,resolution_text
20240522,"Regular Meeting, 6:00 p.m.",Finalsite,39737.0,True,1,PO_FORM,"Attc 8.02 - AF11292.pdf (1,206 KB)","WHEREAS , Finalsite, provides the licenses, support and maintenance of Integrated Communication System proprietary software; and WHEREAS , the licenses, maintenance and support services must be renewed annually for continued services; and WHEREAS , this service is exempt from bidding as per 18A: 18A-5 (19); and WHEREAS , Finalsite has agreed to renew at the contract amount, $39,737.00 for Mass Communication System; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation "
20240522,"Regular Meeting, 6:00 p.m.",,48000.0,True,1,PO_FORM,Attc 8.06 - AF10814.pdf (744 KB),"WHEREAS , pursuant to N.J.S.A . 18A:18A-42 and the recommendation of the Assistant Superintendent; and WHEREAS , Educational Arts Team has offered to renew for year 3 of their contract for (PD22-23-CC4-39) Social and Emotional Learning Summer Camp Experience at an 0% increase for the 2024/25 school year; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approve the renewal of the contract for year 3 fo"
20240522,"Regular Meeting, 6:00 p.m.",Public Consulting Group,150396.0,True,1,PO_FORM,"Attc 9.01 - AF11149.pdf (2,163 KB)","WHEREAS , the Special Education Department requires maintenance and support for the EDPlan (July 1, 2024 thru June 30, 2025); and WHEREAS , hosting, support and maintenance of Proprietary Software is exempt from public advertising pursuant to N.J.S.A . 18A:18A-5(19) ; and WHEREAS , EDPlan provides a simple and consistent way to plan and track student and staff achievement, improve accountability, ensure compliance, facilitate communication and improve collaboration; and WHEREAS , the Public Cons"
20240522,"Regular Meeting, 6:00 p.m.",,812351.17,True,1,PO_FORM,Attc 9.03 - AF11147.pdf (841 KB),"WHEREAS , NJAC 6A:14-7.8(b) specifies that there is to be a tuition contract between the sending school district and the receiving school district when service in the pupil's IEP are purchased for educationally handicapped pupils in accordance with applicable status, rules and regulations of the New Jersey Department of Education; now BE IT RESOLVED , the Jersey City Board of Education upon the recommendation of the Superintendent and the School Business Administrator, approves the entrance into"
20240522,"Regular Meeting, 6:00 p.m.",,547332.0,True,2,PO_FORM; PO_FORM,11106_1_HR.PR Award Report.pdf (338 KB); Attc 10.13 - AF11106.pdf (763 KB),"WHEREAS , the Jersey City Public School District is in need of updating its (PD23-24-CC12-69) web Based Financial (Cloud-Based) and HR Management Systems; and WHEREAS , a notice was published in two (2) newspapers and the Jersey City Board of Education website; responses were received and read aloud on November 9, 2023; and WHEREAS , based on the selection criteria of cost, effectiveness, experience, and qualifications, the committee selected EMS Linq LLC, 2525 Independent Blvd., Wilmington, NC;"
20240522,"Regular Meeting, 6:00 p.m.",,2774730.0,True,1,PO_FORM,Attc 10.15 - AF11183.pdf (772 KB),"WHEREAS , in accordance with N.J.S.A . 18A:18A-42 and upon the recommendation of the Director of Food Services; and WHEREAS , Whitson Culinary Group, 1800 Motor Parkway, Islandia, NY 11749 has offered to renew for year 3 of their contract for (PD22-23-FD12-64) School Pre-Plated Commercial Vended Meals with an 8% increase to the per meal rate for the 2024/25  school year ( increase to the contract cannot exceed the published index rate of 8%); now BE IT RESOLVED , the Jersey City Board of Educati"
20240522,"Regular Meeting, 6:00 p.m.",,61990.0,True,1,PO_FORM,Attc 10.16 - AF11344.pdf (755 KB),"WHEREAS , the Jersey City Public School District is a member of the TIPS-Interlocal Purchasing Cooperative and is permitted to award contracts to vendors pursuant thereto under the authority of N.J.S.A . 52:34-6.2b(3) and LFN 2012-10; and WHEREAS , the Jersey City Public School District intends to participate in the TIPS-Interlocal Purchasing Systems, Contract RFP#210903 for the purpose of purchasing the Point of Sale (POS) and Inventory/Ordering System from Heartland Mosaic School Solutions for"
20240522,"Regular Meeting, 6:00 p.m.",,30000.0,True,1,PO_FORM,"Attc 10.19 - AF10860.pdf (1,112 KB)","WHEREAS , the Jersey City Public Schools District is in need of Equipment Repair Services (Exclusive of Refrigerators and Freezers); and WHEREAS , the District has advertised for Equipment Repair Services (Exclusive of Refrigerators and Freezers) on two occasions, November 3, 2023 and November 28, 2023 and no bids were received; and WHEREAS , pursuant to N.J.S.A . 18A:18A-5(c) , the District may proceed to obtain pricing without advertising further for bids; and WHEREAS , Malachy Mechanical has "
20240522,"Regular Meeting, 6:00 p.m.",,75000.0,True,1,PO_FORM,Attc 11.05 - AF11300.pdf (737 KB),"WHEREAS , the Jersey City Public Schools is in need of (PD24-25-003) Brick & Refractory Services at Various Schools; and WHEREAS , the invitation to bid was published in two (2) newspapers and the Jersey City Board of Education website.  One (1) response was received on May 7, 2024; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approve the award of a contract for (PD24-25-003) Brick and Refractory "
20240522,"Regular Meeting, 6:00 p.m.",,250000.0,True,1,PO_FORM,Attc 11.06 - AF11301.pdf (743 KB),"WHEREAS , the Jersey City Public Schools is in need of (PD24-25-002) Bituminous Concrete Resurfacing at Various Schools; and WHEREAS , the invitation to bid was published in two (2) newspapers and the Jersey City Board of Education website.  Three (3) responses were received on May 7, 2024; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approve the award of a contract for (PD24-25-002) Bituminous Co"
